AABA	2000-01-03	2019-11-06
AAN	2020-11-25	2024-10-03
ABMD	2000-01-03	2023-01-03
ACAS	2000-01-03	2017-01-11
ACC	2004-08-12	2022-08-09
ACF	2010-09-30	2011-10-10
ACS	2010-02-05	2011-02-14
AET	2000-01-03	2018-11-28
AF	2000-01-03	2017-10-02
AFSI	2006-11-13	2018-11-29
AGN	2000-01-03	2020-05-08
AGP	2006-12-28	2012-12-21
AH	2010-05-20	2014-04-22
AHL	2026-02-25	2026-03-05
AIRC	2020-12-15	2024-06-28
AKS	2000-01-03	2020-03-13
ALD	2011-03-17	2019-03-14
ALEX	2012-06-14	2026-03-12
ALR	2000-01-03	2017-10-19
ALTR	2017-11-01	2025-03-26
ALXN	2000-01-03	2021-07-28
AMED	2000-01-03	2025-08-14
AMSG	2016-01-04	2016-12-09
ANAT	2000-01-03	2022-09-08
ANN	2000-01-03	2015-08-31
AOL	2009-11-24	2015-06-22
APLS	2017-11-09	2026-05-14
APOL	2016-01-04	2017-02-09
ARG	2000-01-03	2016-05-31
ARIA	2001-01-02	2017-02-17
ARNC	2020-04-01	2023-08-17
ARRS	2000-01-03	2019-04-04
ASBC	2000-01-03	2014-12-22
AT	2009-12-03	2021-05-14
ATH	2016-12-09	2021-12-31
ATHL	2013-08-02	2014-11-13
ATHN	2007-09-20	2019-02-11
ATML	2016-01-04	2016-04-12
ATVI	2000-01-03	2023-10-13
ATW	2000-01-03	2017-10-19
AVLR	2018-06-15	2022-10-28
AVP	2000-01-03	2020-01-03
AWH	2006-07-12	2017-08-28
AYE	2006-12-28	2011-11-30
AYR	2006-08-08	2020-03-27
AYX	2017-03-24	2024-03-18
AZEK	2020-06-12	2025-07-01
AZPN	2000-01-03	2025-03-12
BCR	2000-01-03	2017-12-29
BEAV	2000-01-03	2017-04-21
BERY	2012-10-04	2025-04-29
BFA	2017-09-08	2018-10-29
BIVV	2017-01-12	2018-03-19
BJS	2006-12-28	2011-05-09
BKI	2015-05-20	2023-09-05
BKS	2000-01-03	2019-08-19
BLUE	2013-06-19	2025-06-02
BMS	2000-01-03	2019-06-28
BPYU	2018-08-28	2021-07-26
BRCD	2000-01-03	2017-11-20
BRL	2006-12-28	2008-12-22
BWC	2021-10-11	2023-08-11
BXLT	2015-06-30	2016-06-16
BYI	2000-01-03	2014-12-01
CAA	2000-01-03	2018-02-13
CAB	2007-08-16	2019-03-01
CAVM	2007-05-02	2018-07-09
CBH	2017-06-28	2024-08-26
CBI	2000-01-03	2018-05-11
CBST	2000-01-03	2015-01-21
CCP	2015-08-18	2017-08-28
CDK	2014-09-24	2022-09-08
CELG	2000-01-03	2019-11-22
CEN	2013-09-26	2023-10-06
CERE	2020-10-28	2024-08-01
CERN	2000-01-03	2022-09-08
CETV	2000-01-03	2020-10-13
CFLT	2021-06-24	2026-03-17
CFN	2009-08-21	2015-03-17
CHAP	2017-05-19	2020-10-14
CHNG	2019-06-27	2022-10-03
CHS	2000-01-03	2024-01-05
CHSI	2008-10-03	2012-07-19
CIE	2009-12-16	2017-12-14
CIT	2009-12-10	2022-01-03
CIVI	2011-12-15	2026-01-29
CKH	2018-01-29	2021-04-15
CLGX	2000-01-03	2021-06-08
CLP	2000-01-03	2013-10-17
CLWR	2007-03-08	2013-10-17
CMA	2000-01-03	2026-01-30
CMD	2000-01-03	2021-06-02
CNQR	2000-01-03	2014-12-04
CNW	2000-01-03	2015-10-30
COL	2001-06-15	2018-11-26
CONE	2013-01-18	2022-03-25
COOP	2012-03-28	2025-10-01
COUP	2016-10-06	2023-02-28
COV	2007-06-14	2015-02-03
CPGX	2015-07-01	2016-07-01
CPN	2008-01-10	2018-03-09
CSE	2003-08-07	2014-04-07
CSRA	2015-11-30	2018-04-04
CST	2013-04-17	2017-06-28
CTCM	2006-05-31	2016-05-26
CTLT	2014-07-31	2024-12-18
CTRA	2000-01-03	2026-05-06
CTRX	2006-06-13	2015-07-23
CTV	2025-02-13	2025-02-21
CTX	2012-04-03	2018-08-20
CTXS	2000-01-03	2022-11-02
CVA	2000-01-03	2021-11-30
CVC	2016-01-04	2016-06-21
CVD	2000-01-03	2015-02-18
CVET	2019-02-05	2022-11-02
CVG	2000-01-03	2018-12-14
CVH	2006-12-28	2013-10-17
CWENA	2015-05-15	2020-08-31
CXG	2006-01-19	2011-06-06
CXO	2007-08-03	2021-01-15
CXP	2013-10-10	2021-12-07
CY	2000-01-03	2020-04-16
CYT	2000-01-03	2015-12-16
DATA	2013-05-17	2019-08-19
DAY	2018-04-26	2026-02-03
DCT	2020-08-14	2023-03-30
