ticker,cik,observed_delist_date,crsp_code,bucket,confidence,reason,delist_filing_form,delist_filing_date,anchor_8k_items,dereg_form,resolved_name,resolution_source,payout_per_share,payout_source,payout_confidence
AABA,1011006,2019-11-06,400,liquidation,medium,"Form 25 + Form 15, 8-K without M&A items: liquidation/voluntary dereg",25-NSE,2019-10-07,"7.01,9.01",15-12G,ALTABA INC.  (CIK 0001011006),efts,,,
AAN,1821393,2024-10-03,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2024-10-04,"2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12G,"Aaron's Company, Inc.  (CIK 0001821393)",efts,10.10,8K_2.01,high
ABMD,815094,2023-01-03,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2022-12-22,"2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12G,ABIOMED INC  (CIK 0000815094),efts,380.00,8K_2.01,high
ACAS,817473,2017-01-11,231,merger,medium,"M&A 2.01+3.01+5.01 (acquired by external acquirer) (no Form 25 anchor, 8-K-only)",,,"2.01,3.01,3.03,5.01,5.02,7.01,9.01",15-12G,"AMERICAN CAPITAL, LTD  (CIK 0000817473)",efts,6.48,8K_2.01,high
ACC,1283630,2022-08-09,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2022-08-10,"1.02,2.01,3.01,3.03,5.01,5.02,8.01,9.01",15-12G,AMERICAN CAMPUS COMMUNITIES INC,name_search,65.47,8K_2.01,high
ACF,804269,2011-10-10,304,exchange_transfer,medium,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),25-NSE,2010-10-01,,15-12B,"General Motors Financial Company, Inc.",name_search,,,
ACS,2135,2011-02-14,400,liquidation,medium,"Form 25 + Form 15, 8-K without M&A items: liquidation/voluntary dereg",25-NSE,2010-02-08,5.02,15-12B,AFFILIATED COMPUTER SERVICES INC,name_search,,,
AET,1122304,2018-11-28,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2018-11-29,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12B,,manual,,none,none
AF,910322,2017-10-02,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2017-10-02,"2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12B,ASTORIA FINANCIAL CORP,name_search,,none,none
AFSI,1365555,2018-11-29,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2018-11-29,"2.01,3.01,3.02,3.03,5.01,5.02,5.03,8.01,9.01",15-12B,"Amtrust Financial Services, Inc.  (CIK 0001365555)",efts,14.75,8K_2.01,high
AGN,1578845,2020-05-08,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2020-05-11,"2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",15-12B,Allergan plc  (CIK 0001578845),efts_frequency,,none,none
AGP,1064863,2012-12-21,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2012-12-28,"2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12B,AMERIGROUP CORP,name_search,92.00,8K_2.01,high
AH,1472595,2014-04-22,304,exchange_transfer,medium,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),25-NSE,2014-08-01,,15-12G,,manual,,,
AHL,1267395,2026-03-05,400,liquidation,medium,"Form 25 + Form 15, no merger 8-K: voluntary dereg / liquidation",25-NSE,2026-02-24,,15-12G,ASPEN INSURANCE HOLDINGS LTD,name_search,,,
AIRC,1820877,2024-06-28,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2024-06-28,"1.01,1.02,2.01,2.03,3.01,3.03,5.01,5.02,5.03,7.01,8.01,9.01",15-12G,Apartment Income REIT Corp.,name_search,39.12,8K_2.01,high
AKS,918160,2020-03-13,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2020-03-13,"1.01,1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12G,AK STEEL HOLDING CORP  (CIK 0000918160),efts,,none,none
