sec_id,delist_date,ticker,cik,bucket,crsp_code,confidence,reason,exchange,last_trade_date,last_trade_close,successor_sec_id,acquirer_sec_id,acquirer_ticker,payout_per_share,stock_ratio,acquirer_price,recovery_ratio,terminal_value,dlret,dlret_method,dlret_confidence,payout_source,delist_filing_form,delist_filing_date,delist_filing_accession,anchor_8k_items,dereg_form,resolved_name,resolution_source,last_trade_date_source,raw_payout_per_share,raw_payout_source,raw_payout_confidence,review_flags
BBG000B9X5K7,2010-04-11,ALD,3906,merger,231,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),NYSE,2010-04-01,4.970000,,BBG000PD6X77,ARCC,0.200000,0.325000,14.920000,,5.049000,0.015895,cash_plus_stock,medium,,25-NSE,2010-04-05,0000876661-10-000110,"2.01,3.01,3.03,5.01,5.02,9.01",15-12G,ALLIED CAPITAL CORP,efts,ex99_notice,,none,none,ftd_close_prior:1
BBG000B9YSK6,2020-11-04,CBL,910612,exchange_transfer,304,medium,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),NYSE,2020-11-02,0.090000,,,,,,,,,0.000000,exchange_transfer_zero,high,,,,,,,CBL & ASSOCIATES PROPERTIES INC.,company_tickers,nasdaq_halt,,,,resolved_by_current_ticker_map;no_form25;delist_date_approx;successor_unknown
BBG000B9ZGM9,2018-06-17,BGC,886035,merger,231,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),NYSE,2018-06-05,30.000000,,,,30.000000,,,,30.000000,0.000000,cash_only,high,8K_2.01,25-NSE,2018-06-07,0000876661-18-000685,"1.01,1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12B,GENERAL CABLE CORP,name_search,midas,30.000000,8K_2.01,high,
BBG000B9ZV28,2025-08-24,AMED,896262,merger,231,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),NASDAQ,2025-08-14,100.990000,,,,101.000000,,,,101.000000,0.000099,cash_only,high,8K_2.01,25-NSE,2025-08-14,0001354457-25-000816,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12G,AMEDISYS INC,efts,midas,101.000000,8K_2.01,high,ftd_close_lagged
BBG000BB03M1,2018-05-21,CBI,1027884,merger,231,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),NYSE,2018-05-10,16.390000,,,MDR,,0.824070,22.010000,,18.137781,0.106637,stock_only,medium,,25-NSE,2018-05-11,0000876661-18-000495,"1.02,2.01,2.03,3.01,3.03,5.01,5.02,5.03,9.01",15-12B,CHICAGO BRIDGE & IRON COMPANY NV,name_search,ex99_notice,,none,none,ftd_close_lagged;acquirer_close_lagged
BBG000BB1BW1,2008-09-29,CPS,1040596,merger,231,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),NYSE,2008-09-18,49.850000,,,,50.000000,,,,50.000000,0.003009,cash_only,high,8K_2.01,25-NSE,2008-09-19,0000876661-08-000365,"2.01,3.01,5.01,5.02,5.03,9.01",15-12B,CHOICEPOINT INC,name_search,ex99_notice,50.000000,8K_2.01,high,
BBG000BB27M0,2009-04-06,DNA,318771,merger,231,medium,Merger filing SC 14D9 2009-02-23 before the delisting,NYSE,2009-03-26,94.970000,,,,95.000000,,,,95.000000,0.000316,cash_only,medium,8K_1.01,25-NSE,2009-03-27,0000876661-09-000172,"5.02,9.01",15-12B,GENENTECH INC,efts,ex99_notice,95.000000,8K_1.01,medium,
BBG000BB2KW0,2017-02-11,APOL,929887,merger,231,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),NASDAQ,2017-02-01,10.000000,,,,10.000000,,,,10.000000,0.000000,cash_only,high,8K_2.01,25-NSE,2017-02-01,0001354457-17-000027,"2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",15-12G,APOLLO EDUCATION GROUP INC CLASS A,name_search,midas,10.000000,8K_2.01,high,
BBG000BB2N27,2014-12-25,THI,1345111,merger,231,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),NYSE,2014-12-12,85.920000,,BBG0076WG2V1,QSR,65.500000,0.802500,35.460000,,93.956650,0.093536,cash_plus_stock,medium,,25-NSE,2014-12-15,0000876661-14-000652,"1.01,1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12B,TIM HORTONS INC,name_search,ex99_notice,,none,none,acquirer_close_lagged
BBG000BB2PH6,2013-11-09,FCS,1036960,exchange_transfer,304,medium,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),NYSE,2013-10-30,12.480000,BBG000BB2PH6,,,,,,,,0.000000,exchange_transfer_zero,high,,25,2013-10-30,0001193125-13-418463,,15-12B,FAIRCHILD SEMICONDUCTOR INTERNATIO,name_search,8k_301,,,,
BBG000BB2PH6,2016-09-29,FCS,1036960,merger,231,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),NASDAQ,2016-09-16,19.860000,,,,20.000000,,,,20.000000,0.007049,cash_only,high,8K_2.01,25-NSE,2016-09-19,0001354457-16-000497,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",15-12B,FAIRCHILD SEMICONDUCTOR INTERNATIO,name_search,midas,20.000000,8K_2.01,high,
BBG000BB2PW9,2019-02-18,DNB,1115222,merger,231,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),NYSE,2019-02-07,144.950000,,,,145.000000,,,,145.000000,0.000345,cash_only,high,8K_2.01,25-NSE,2019-02-08,0000876661-19-000123,"1.01,1.02,2.01,2.03,3.01,3.03,5.01,5.03,9.01",15-12B,DUN & BRADSTREET CORP,efts_frequency,midas,145.000000,8K_2.01,high,ftd_close_lagged
BBG000BB38Q3,2015-03-01,CVD,1023131,merger,231,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),NYSE,2015-02-18,106.420000,,BBG000D9DMK0,LH,75.760000,0.268600,117.000000,,107.186200,0.007200,cash_plus_stock,medium,,25-NSE,2015-02-19,0000876661-15-000084,"1.02,2.01,2.04,3.01,3.03,5.01,5.02,5.03,9.01",15-12B,COVANCE INC.,name_search,midas,,none,none,
BBG000BB4WY0,2018-10-15,CVG,1062047,merger,231,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),NYSE,2018-10-04,24.410000,,BBG000CL9JV4,SNX,13.250000,0.126300,88.380000,,24.412394,0.000098,cash_plus_stock,medium,,25-NSE,2018-10-05,0000876661-18-001069,"2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",15-12B,CONVERGYS CORP,name_search,midas,,none,none,ftd_close_lagged
BBG000BB5HV5,2010-12-19,ADCT,61478,merger,231,high,"M&A change in control (5.01) with delisting/rights change, closing 8-K without 2.01",NASDAQ,,,,,,12.750000,,,,,,needs_last_trade,low,8K_1.01,25-NSE,2010-12-09,0001354457-10-000318,"1.01,1.02,2.04,3.01,3.02,3.03,5.01,5.02",15-12G,ADC TELECOMMUNICATIONS,name_search,,12.750000,8K_1.01,medium,no_last_trade_date;no_last_close
BBG000BB6F57,2020-04-09,AVX,859163,merger,200,high,M&A 2.01+3.01 (acquisition with delisting),NYSE,2020-03-27,21.690000,,,,21.750000,,,,21.750000,0.002766,cash_only,high,8K_2.01,25-NSE,2020-03-30,0000876661-20-000255,"1.02,2.01,3.01,3.03,5.02,5.03,8.01,9.01",15-15D,AVX CORP.,name_search,midas,21.750000,8K_2.01,high,ftd_close_prior:3
BBG000BB6G37,2012-04-09,ADI,6281,exchange_transfer,304,medium,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),NYSE,,,BBG000BB6G37,,,,,,,,0.000000,exchange_transfer_zero,high,,25,2012-03-30,0001193125-12-141798,,15-15D,ANALOG DEVICES INC,company_tickers,,,,,resolved_by_current_ticker_map;no_last_trade_date;no_last_close
BBG000BB6MM3,2020-06-08,WBC,1390844,merger,231,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),NYSE,2020-05-28,136.460000,,,,136.500000,,,,136.500000,0.000293,cash_only,high,8K_2.01,25-NSE,2020-05-29,0000876661-20-000455,"1.02,2.01,2.04,3.01,3.03,5.01,5.02,5.03,9.01",15-12B,WABCO HOLDINGS INC,name_search,midas,136.500000,8K_2.01,high,ftd_close_lagged
BBG000BB8PG1,2021-10-02,GRA,1045309,merger,231,high,"M&A change in control (5.01) with delisting/rights change, closing 8-K without 2.01",NYSE,2021-09-21,69.990000,,,,70.000000,,,,70.000000,0.000143,cash_only,high,8K_2.01,25-NSE,2021-09-22,0000876661-21-001374,"3.03,5.01,5.03,9.01",15-12B,WR GRACE,efts_frequency,midas,70.000000,8K_2.01,high,
BBG000BB9KF2,2020-10-10,AEP,4904,exchange_transfer,304,high,Ticker change / listing transfer: 3.01 notice announces a listing transfer; company still reports results,NYSE,2020-09-30,85.300000,BBG000BB9KF2,,,,,,,,0.000000,exchange_transfer_zero,high,,25,2020-09-30,0000004904-20-000077,,,AMERICAN ELECTRIC POWER INC,company_tickers,8k_301,,,,resolved_by_current_ticker_map;ftd_close_lagged
BBG000BB9RZ5,2013-02-23,SHAW,914024,merger,231,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),NYSE,2013-02-12,47.620000,,BBG000BB03M1,CBI,41.000000,0.128830,52.110000,,47.713331,0.001960,cash_plus_stock,medium,8K_2.01,25-NSE,2013-02-13,0000876661-13-000062,"1.02,2.01,3.01,3.03,5.01,5.02",15-12B,SHAW GROUP INC.,efts,midas,41.000000,8K_2.01,high,ftd_close_prior:1
BBG000BBB3K1,2017-08-04,RAI,1275283,merger,231,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),NYSE,2017-07-24,65.400000,,,,,,,,65.400000,0.000000,assumed_par,low,,25-NSE,2017-07-25,0001143313-17-000033,"1.01,1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-15D,REYNOLDS AMERICAN INC,manual,midas,29.440000,8K_2.01,high,payout_gate_failed:29.44;terms_gate_failed:fail_sanity;merger_at_par
BBG000BBBP59,2016-03-28,PRE,911421,exchange_transfer,304,medium,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),NYSE,2016-03-17,140.520000,,,,,,,,,0.000000,exchange_transfer_zero,high,,25-NSE,2016-03-18,0000876661-16-000866,,15-12B,PARTNERRE LTD,name_search,ex99_notice,,,,successor_unknown
BBG000BBBQ84,2015-09-05,PPO,1292556,merger,231,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),NYSE,2015-08-25,60.480000,,,,60.500000,,,,60.500000,0.000331,cash_only,high,8K_2.01,25-NSE,2015-08-26,0000876661-15-000385,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",15-12B,POLYPORE INTERNATIONAL INC.,name_search,midas,60.500000,8K_2.01,high,
BBG000BBD070,2025-07-28,HES,4447,merger,231,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),NYSE,2025-07-17,148.970000,,BBG000K4ND22,CVX,,1.025000,150.040000,,153.791000,0.032362,stock_only,medium,,25-NSE,2025-07-18,0000876661-25-000523,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12G,HESS CORP,name_search,midas,,none,none,ftd_close_lagged;acquirer_close_lagged
BBG000BBDPQ4,2013-12-30,NVE,741508,merger,231,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),NYSE,2013-12-19,23.710000,,,,23.750000,,,,23.750000,0.001687,cash_only,medium,DEFM14A,25-NSE,2013-12-20,0000876661-13-000902,"2.01,3.01,3.03,5.01,5.03,9.01",15-12B,NV ENERGY INC.,name_search,midas,23.750000,DEFM14A,medium,ftd_close_prior:1
BBG000BBG2C7,2013-10-11,CNH,1024519,merger,231,medium,Merger filing 425 2013-09-18 before the delisting,NYSE,2013-09-27,51.220000,,,,,,,,51.220000,0.000000,assumed_par,low,,25-NSE,2013-10-01,0000876661-13-000736,,15-15D,CNH GLOBAL N.V.,efts,ex99_notice,,none,none,ftd_close_prior:2;merger_at_par
BBG000BBJB07,2020-06-19,AKRX,3116,liquidation,470,high,Bankruptcy (8-K item 1.03 filed 2020-05-21),NASDAQ,2020-05-29,0.090000,,,,,,,,,-0.550000,shumway_nasdaq,medium,,25-NSE,2020-06-09,0001354457-20-000239,,15-12B,AKORN INC,name_search,midas,,,,
BBG000BBLK04,2016-01-14,TW,1470215,merger,233,high,M&A 2.01+5.01 (subsidiary buyback / parent acquisition),NASDAQ,2016-01-04,123.000000,,,WLTW,,1.000000,123.000000,,123.000000,0.000000,stock_only,medium,,25-NSE,2016-01-04,0001354457-16-000259,"2.01,3.03,5.01,5.02,5.03,9.01",15-12B,TOWERS WATSON,efts,midas,,none,none,
BBG000BBMSJ6,2016-01-07,ALTR,768251,merger,231,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),NASDAQ,2015-12-24,53.960000,,,,54.000000,,,,54.000000,0.000741,cash_only,medium,DEFM14A,25-NSE,2015-12-28,0001354457-15-000253,"2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12G,ALTERA CORP,efts,midas,54.000000,DEFM14A,medium,
BBG000BBMVS9,2013-02-08,RAH,1029506,merger,231,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),NYSE,2013-01-29,89.980000,,,,90.000000,,,,90.000000,0.000222,cash_only,high,8K_2.01,25-NSE,2013-01-29,0000876661-13-000036,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,5.07,9.01",15-12B,RALCORP HOLDINGS INC.,name_search,midas,90.000000,8K_2.01,high,ftd_close_prior:1
BBG000BBQCY0,2015-01-10,AMD,2488,exchange_transfer,304,high,Ticker change / listing transfer: 3.01 notice announces a listing transfer; company still reports results,NYSE,2014-12-31,2.670000,BBG000BBQCY0,,,,,,,,0.000000,exchange_transfer_zero,high,,25,2014-12-31,0001193125-14-457974,,15-12G,ADVANCED MICRO DEVICES INC,company_tickers,8k_301,,,,resolved_by_current_ticker_map
BBG000BBSX81,2016-01-25,PMCS,767920,merger,231,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),NASDAQ,2016-01-14,11.650000,,BBG000BPG977,MSCC,9.220000,0.077100,31.800000,,11.671780,0.001870,cash_plus_stock,medium,,25-NSE,2016-01-15,0001354457-16-000262,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12G,PMC-SIERRA INC.,name_search,midas,,none,none,
BBG000BBVCN6,2016-10-01,ESI,922475,liquidation,470,high,Bankruptcy (8-K item 1.03 filed 2016-09-26),NYSE,2016-09-02,0.360000,,,,,,,,,-0.300000,shumway_nyse_amex,medium,,25-NSE,2016-09-21,0000876661-16-001290,,,ITT EDUCATIONAL SVCS INC,cik_map,midas,,,,last_trade_date_conflict
