ticker,bucket,observed_delist_date,crsp_code,dlret,reason,exchange,last_trade_close,payout_per_share,stock_ratio,acquirer_price,acquirer_ticker,recovery_ratio,terminal_value,dlret_method,dlret_confidence,payout_source
AABA,liquidation,2019-11-06,400,-0.550000,"Form 25 + Form 15, 8-K without M&A items: liquidation/voluntary dereg",nasdaq,19.630000,,,,,,,shumway_nasdaq,medium,
AAN,merger,2024-10-03,231,0.000991,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,10.090000,10.100000,,,,,10.100000,cash_only,high,8K_2.01
ABMD,merger,2023-01-03,231,-0.002677,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,381.020000,380.000000,,,,,380.000000,cash_only,high,8K_2.01
ACAS,merger,2017-01-11,231,0.015215,"M&A 2.01+3.01+5.01 (acquired by external acquirer) (no Form 25 anchor, 8-K-only)",nasdaq,17.990000,10.130000,0.483000,16.840000,ARCC,,18.263720,cash_plus_stock,medium,8K_2.01
ACC,merger,2022-08-09,231,0.000764,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,65.420000,65.470000,,,,,65.470000,cash_only,high,8K_2.01
ACF,exchange_transfer,2011-10-10,304,0.000000,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),nyse,24.460000,,,,,,,exchange_transfer_zero,high,
ACS,liquidation,2011-02-14,400,-0.300000,"Form 25 + Form 15, 8-K without M&A items: liquidation/voluntary dereg",nyse,59.640000,,,,,,,shumway_nyse_amex,medium,
AET,merger,2018-11-28,231,-0.002115,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,212.700000,145.000000,0.837800,80.270000,CVS,,212.250206,cash_plus_stock,medium,
AF,merger,2017-10-02,231,0.011337,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,21.500000,,0.875000,24.850000,STL,,21.743750,stock_only,medium,
AFSI,merger,2018-11-29,231,0.000000,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,14.750000,14.750000,,,,,14.750000,cash_only,high,8K_2.01
AGN,merger,2020-05-08,231,-0.000055,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,193.020000,120.300000,0.866000,83.960000,ABBV,,193.009360,cash_plus_stock,medium,
AGP,merger,2012-12-21,231,0.003272,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,91.700000,92.000000,,,,,92.000000,cash_only,high,8K_2.01
AH,exchange_transfer,2014-04-22,304,0.000000,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),other,8.020000,,,,,,,exchange_transfer_zero,high,
AHL,liquidation,2026-03-05,400,-0.550000,"Form 25 + Form 15, no merger 8-K: voluntary dereg / liquidation",other,37.500000,,,,,,,shumway_nasdaq,medium,
AIRC,merger,2024-06-28,231,0.001024,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,39.080000,39.120000,,,,,39.120000,cash_only,high,8K_2.01
AKS,merger,2020-03-13,231,,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,1.550000,,,,,,,abstain_no_consideration,low,
ALD,expiration,2019-03-14,600,,"Non-equity security (asset_type='etf', name='wisdomtree asia local debt fund na')",nyse,44.390000,,,,,,,dropped_expiration,low,
ALEX,merger,2026-03-12,231,0.000480,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,20.840000,20.850000,,,,,20.850000,cash_only,high,8K_2.01
ALR,merger,2017-10-19,231,0.000196,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,50.990000,51.000000,,,,,51.000000,cash_only,high,8K_2.01
ALTR,merger,2025-03-26,231,0.010282,M&A 2.01+3.01+5.01 (acquired by external acquirer),other,111.850000,113.000000,,,,,113.000000,cash_only,high,8K_2.01
ALXN,merger,2021-07-28,231,,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,182.500000,,,,,,,abstain_no_consideration,low,
AMED,merger,2025-08-14,231,,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,100.990000,,,,,,,abstain_no_consideration,low,
AMSG,liquidation,2016-12-09,400,-0.550000,"Form 25 + Form 15, 8-K without M&A items: liquidation/voluntary dereg",nasdaq,67.750000,,,,,,,shumway_nasdaq,medium,
ANAT,merger,2022-09-08,231,-0.000105,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,190.020000,190.000000,,,,,190.000000,cash_only,high,8K_2.01
ANN,merger,2015-08-31,231,,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,44.890000,,,,,,,abstain_no_consideration,low,
AOL,merger,2015-06-22,231,0.000200,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,49.990000,50.000000,,,,,50.000000,cash_only,high,8K_2.01
APLS,merger,2026-05-14,231,-0.000731,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,41.030000,41.000000,,,,,41.000000,cash_only,high,8K_2.01
APOL,merger,2017-02-09,231,0.000500,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,9.995000,10.000000,,,,,10.000000,cash_only,high,8K_2.01
ARG,merger,2016-05-31,231,0.000350,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,142.950000,143.000000,,,,,143.000000,cash_only,high,8K_2.01
ARIA,merger,2017-02-17,231,0.000417,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,23.990000,24.000000,,,,,24.000000,cash_only,high,8K_2.01
ARNC,merger,2023-08-17,231,0.000333,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,29.990000,30.000000,,,,,30.000000,cash_only,high,8K_2.01
ARRS,merger,2019-04-04,231,0.002843,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,31.660000,31.750000,,,,,31.750000,cash_only,high,8K_2.01
ASBC,exchange_transfer,2014-12-22,304,0.000000,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),nasdaq,18.420000,,,,,,,exchange_transfer_zero,high,
AT,merger,2021-05-14,231,0.003311,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,3.020000,3.030000,,,,,3.030000,cash_only,high,8K_2.01
