sec_id,delist_date,ticker,payout_per_share,confidence,source,accession
BBG000B9X5K7,2010-04-11,ALD,,none,none,
BBG000B9ZGM9,2018-06-17,BGC,30.000000,high,8K_2.01,0001193125-18-185029
BBG000B9ZV28,2025-08-24,AMED,101.000000,high,8K_2.01,0001104659-25-078145
BBG000BB03M1,2018-05-21,CBI,,none,none,
BBG000BB1BW1,2008-09-29,CPS,50.000000,high,8K_2.01,0001193125-08-199389
BBG000BB27M0,2009-04-06,DNA,95.000000,medium,8K_1.01,0001193125-09-055440
BBG000BB2KW0,2017-02-11,APOL,10.000000,high,8K_2.01,0001193125-17-026959
BBG000BB2N27,2014-12-25,THI,,none,none,
BBG000BB2PH6,2016-09-29,FCS,20.000000,high,8K_2.01,0001193125-16-713492
BBG000BB2PW9,2019-02-18,DNB,145.000000,high,8K_2.01,0001104659-19-006848
BBG000BB38Q3,2015-03-01,CVD,,none,none,
BBG000BB4WY0,2018-10-15,CVG,,none,none,
BBG000BB5HV5,2010-12-19,ADCT,12.750000,medium,8K_1.01,0001299933-10-004380
BBG000BB6F57,2020-04-09,AVX,21.750000,high,8K_2.01,0001193125-20-090240
BBG000BB6MM3,2020-06-08,WBC,136.500000,high,8K_2.01,0001193125-20-155112
BBG000BB8PG1,2021-10-02,GRA,70.000000,high,8K_2.01,0001140361-21-032086
BBG000BB9RZ5,2013-02-23,SHAW,41.000000,high,8K_2.01,0001193125-13-054117
BBG000BBB3K1,2017-08-04,RAI,,none,none,
BBG000BBBQ84,2015-09-05,PPO,60.500000,high,8K_2.01,0001193125-15-303257
BBG000BBD070,2025-07-28,HES,,none,none,
BBG000BBDPQ4,2013-12-30,NVE,23.750000,medium,DEFM14A,0001193125-13-340806
BBG000BBG2C7,2013-10-11,CNH,,none,none,
BBG000BBLK04,2016-01-14,TW,,none,none,
BBG000BBMSJ6,2016-01-07,ALTR,54.000000,medium,DEFM14A,0001193125-15-300376
BBG000BBMVS9,2013-02-08,RAH,90.000000,high,8K_2.01,0000950103-13-000586
BBG000BBSX81,2016-01-25,PMCS,,none,none,
BBG000BBXQ71,2011-03-24,DLM,19.000000,medium,8K_1.01,0001193125-11-062385
BBG000BBY4T5,2020-07-12,ANAT,,none,none,
BBG000BC16H7,2018-11-26,LPNT,65.000000,high,8K_2.01,0001193125-18-329058
BBG000BC26P7,2026-02-02,GES,16.750000,high,8K_2.01,0001193125-26-020386
BBG000BC40Y8,2019-08-19,APC,,none,none,
BBG000BC8G88,2016-06-02,ARG,143.000000,high,8K_2.01,0001193125-16-599268
BBG000BC9938,2023-12-02,VMW,142.500000,high,llm_election_cash,0001193125-23-282097
BBG000BC9WH2,2015-10-18,HME,75.230000,high,8K_2.01,0001104659-15-069677
BBG000BCBCM7,2017-09-22,SPLS,10.250000,high,8K_2.01,0001104659-17-056725
BBG000BCGY17,2015-06-22,LO,,none,none,
BBG000BCM087,2017-10-16,ATW,,none,none,
BBG000BCSPR5,2022-01-07,COR,170.000000,high,llm,0001104659-21-153948
BBG000BCX7G1,2013-11-16,OMX,,none,none,
BBG000BCYP43,2018-01-08,BCR,,none,none,
BBG000BCZH22,2010-03-25,BDK,,none,none,
BBG000BD0DV5,2011-07-10,BEC,83.500000,high,8K_2.01,0001193125-11-179107
BBG000BD0Q91,2019-08-17,BKS,6.500000,high,8K_2.01,0001193125-19-214770
BBG000BD3LM4,2022-03-14,NUAN,56.000000,high,8K_2.01,0001193125-22-066065
BBG000BD6SQ2,2021-05-13,WDR,25.000000,high,8K_2.01,0001104659-21-059115
BBG000BD7W19,2013-01-18,TIE,16.500000,high,8K_2.01,0001193125-13-006836
BBG000BDG1Y1,2013-09-20,BMC,46.250000,high,8K_2.01,0001193125-13-364103
BBG000BDHD29,2023-08-11,UNVR,36.150000,high,8K_2.01,0001193125-23-199985
BBG000BDHNB7,2019-06-21,BMS,,none,none,
BBG000BDLLR9,2007-11-05,BOL,65.000000,medium,8K_1.01,0001104659-07-077288
BBG000BDP616,2014-04-12,BRE,,none,none,
BBG000BDQGN9,2009-01-02,BRL,,none,none,
BBG000BDRMN5,2009-06-15,HTV,,none,none,
BBG000BDRQ10,2008-06-15,BSC,,none,none,
BBG000BDTNN1,2008-12-06,BUD,70.000000,medium,8K_1.01,0001193125-08-151934
BBG000BDWKC5,2018-11-15,CA,44.500000,high,8K_2.01,0001193125-18-317918
BBG000BF1PD2,2020-02-14,LPT,,none,none,
BBG000BF1R66,2016-01-24,CB,,none,none,
BBG000BF2KK4,2012-12-16,CBE,,none,none,
BBG000BF5RY1,2016-06-10,CCE,,none,none,
BBG000BF6F94,2008-09-05,NMX,81.160000,high,llm_election_cash,0001193125-08-187293
BBG000BF7T75,2017-10-12,AF,,none,none,
BBG000BF7XZ5,2008-07-11,CFC,,none,none,
BBG000BFC8J2,2019-11-30,CELG,,none,none,
BBG000BFDLV8,2022-06-18,CERN,95.000000,high,8K_2.01,0001193125-22-169841
BBG000BFDXW1,2016-02-11,BRCM,54.500000,high,8K_2.01,0001193125-16-446902
BBG000BFFW15,2013-10-12,CLP,,none,none,
BBG000BFJSG4,2019-02-11,VVC,72.000000,high,8K_2.01,0001193125-19-025987
BBG000BFK8Y6,2021-06-19,TCF,,none,none,
BBG000BFMBQ6,2018-12-31,CI,48.750000,high,8K_2.01,0001140361-18-045478
BBG000BFWKC0,2018-06-17,MON,128.000000,high,8K_2.01,0001193125-18-188226
BBG000BFZ1K0,2015-11-09,CNW,47.600000,high,8K_2.01,0001193125-15-361225
BBG000BG1DH3,2022-07-11,COHR,,none,none,
BBG000BG4JL2,2012-10-11,ARBA,45.000000,high,8K_2.01,0001193125-12-410942
BBG000BG8814,2018-03-11,RGC,23.000000,high,8K_2.01,0001104659-18-013297
BBG000BGCGB0,2011-01-24,CTV,31.500000,high,8K_2.01,0001193125-11-008250
BBG000BGFLL5,2013-11-23,NYX,,none,none,
BBG000BGFZR8,2017-04-13,CSC,,none,none,
BBG000BGMX22,2010-10-14,HEW,,none,none,
BBG000BGNM16,2009-08-29,CTX,,none,none,
BBG000BGPG26,2014-12-25,CPWR,10.389188,high,8K_2.01,0001140361-14-045515
BBG000BGPVW0,2021-01-08,TCO,43.000000,high,8K_2.01,0001140361-20-029674
BBG000BGR5J0,2016-07-01,CVC,34.900000,high,8K_2.01,0000947871-16-001286
BBG000BGVML5,2011-01-13,STU,30.000000,high,8K_2.01,0001193125-11-000159
BBG000BGZT72,2024-03-29,AYX,48.250000,medium,DEFM14A,0001193125-24-029921
BBG000BH0FR6,2023-12-24,SGEN,229.000000,high,8K_2.01,0001193125-23-294938
