severity,sec_id,delist_date,ticker,cik,bucket,dlret,review_flags,reason,anchor_8k,last_seen
fix,BBG000BB5HV5,2010-12-19,ADCT,61478,merger,,no_last_trade_date;no_last_close;no_dlret,"M&A change in control (5.01) with delisting/rights change, closing 8-K without 2.01","1.01,1.02,2.04,3.01,3.02,3.03,5.01,5.02",
fix,BBG000BBY4T5,2020-07-12,ANAT,904163,merger,,no_last_trade_date;no_last_close;terms_gate_failed:no_acq_price;no_dlret,Merger filing DEFM14A 2020-03-25 before the delisting,"1.01,3.01,3.03,5.02,8.01,9.01",
fix,BBG000BDN878,2019-03-04,TAHO,1510400,unknown,,no_evidence_default;no_last_close;no_dlret,Delisted/deregistered without merger or distress evidence,,
fix,BBG000BFDLV8,2022-06-18,CERN,804753,merger,,no_last_close;no_dlret,M&A 2.01+3.01+5.01 (acquired by external acquirer),"2.01,3.01,3.03,5.01,5.02,5.03,9.01",
fix,BBG000BFMBQ6,2018-12-31,CI,701221,merger,,no_last_trade_date;no_last_close;terms_gate_failed:no_acq_price;no_dlret,M&A 2.01+3.01+5.01 (acquired by external acquirer),"2.01,2.03,3.01,3.03,5.01,5.02,5.03,8.01,9.01",
fix,BBG000BFZ1K0,2015-11-09,CNW,23675,merger,,no_last_close;no_dlret,M&A 2.01+3.01+5.01 (acquired by external acquirer),"1.02,2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",
fix,BBG000BH2T94,2011-12-11,GLBL,895663,merger,,no_last_trade_date;no_last_close;no_dlret,M&A 2.01+3.01+5.01 (acquired by external acquirer),"1.01,1.02,2.01,2.04,3.01,3.03,5.01,5.02",
fix,BBG000BHD665,2007-10-22,CDWC,899171,merger,,no_last_trade_date;observed_after_delisting;no_last_close;no_dlret,"M&A change in control (5.01) with delisting/rights change, closing 8-K without 2.01","1.01,1.02,2.03,3.01,3.03,5.01,5.02,5.03,9.01",
fix,BBG000BHSKN9,2015-10-12,GOOGL,1288776,unknown,,no_evidence_default;no_last_trade_date;no_last_close;no_dlret,Delisted/deregistered without merger or distress evidence,"1.01,3.01,3.03,5.02,5.03,9.01",
fix,BBG000BJ3QD0,2007-11-16,DADE,1183920,merger,,no_last_trade_date;observed_after_delisting;no_last_close;no_dlret,Merger filing SC 14D9 2007-08-08 before the delisting,"2.02,9.01",
fix,BBG000BJV732,2007-12-01,FRK,37651,merger,,last_trade_date_conflict;observed_after_delisting;no_last_close;no_dlret,Merger filing 425 2007-11-08 before the delisting,,
fix,BBG000BJXXX0,2007-07-12,IFIN,949589,merger,,no_last_trade_date;observed_after_delisting;no_last_close;terms_gate_failed:no_acq_price;no_dlret,Merger filing DEFM14A 2007-05-29 before the delisting,"8.01,9.01",
