sec_id,issuer_cik,share_class,name,security_type,observed,figi_source
BBG000B9X5K7,3906,COMMON,ALLIED CAPITAL CORP,Common Stock,true,cusip
BBG000B9X8C0,1002910,COMMON,AMEREN CORP,Common Stock,true,cusip
BBG000B9XG87,1037868,COMMON,AMETEK INC,Common Stock,true,cusip
BBG000B9XRY4,320193,COMMON,APPLE INC,Common Stock,true,cusip
BBG000B9XYV2,1053507,COMMON,AMERICAN TOWER REIT CORP,REIT,true,cusip
BBG000B9YJ35,820313,CLASS A,AMPHENOL CORP CLASS A,Common Stock,true,cusip
BBG000B9YSK6,910612,COMMON,CBL & ASSOCIATES PROPERTIES INC.,REIT,true,cusip
BBG000B9Z0J8,1045609,COMMON,PROLOGIS REIT INC,REIT,true,cusip
BBG000B9ZGM9,886035,COMMON,GENERAL CABLE CORP,Common Stock,true,cusip
BBG000B9ZV28,896262,COMMON,AMEDISYS INC,Common Stock,true,cusip
BBG000B9ZXB4,1800,COMMON,ABBOTT LABORATORIES,Common Stock,true,cusip
BBG000BB03M1,1027884,COMMON,CHICAGO BRIDGE & IRON COMPANY NV,Common Stock,true,cusip
BBG000BB0V03,906345,COMMON,CAMDEN PROPERTY TRUST REIT,REIT,true,cusip
BBG000BB1BW1,1040596,COMMON,CHOICEPOINT INC,Common Stock,true,cusip
BBG000BB1TH9,1124198,COMMON,FLUOR CORP,Common Stock,true,cusip
BBG000BB27M0,318771,COMMON,GENENTECH INC,Common Stock,true,cusip
BBG000BB29X4,936340,COMMON,DTE ENERGY,Common Stock,true,cusip
BBG000BB2KN0,853816,COMMON,LANDSTAR SYSTEM INC,Common Stock,true,cusip
BBG000BB2KW0,929887,CLASS A,APOLLO EDUCATION GROUP INC CLASS A,Common Stock,true,cusip
BBG000BB2N27,1345111,COMMON,TIM HORTONS INC,Common Stock,true,cusip
BBG000BB2PH6,1036960,COMMON,FAIRCHILD SEMICONDUCTOR INTERNATIO,Common Stock,true,cusip
BBG000BB2PW9,1115222,COMMON,DUN & BRADSTREET CORP,Common Stock,true,cusip
BBG000BB38Q3,1023131,COMMON,COVANCE INC.,Common Stock,true,cusip
BBG000BB41G8,3327,COMMON,ALBERTO CULVER CO,Common Stock,true,cusip
BBG000BB4D72,1128928,COMMON,FLOWERS FOODS INC,Common Stock,true,cusip
BBG000BB4WY0,1062047,COMMON,CONVERGYS CORP,Common Stock,true,cusip
BBG000BB5006,796343,COMMON,ADOBE INC,Common Stock,true,cusip
BBG000BB5373,1365135,COMMON,WESTERN UNION,Common Stock,true,cusip
BBG000BB5792,884887,COMMON,ROYAL CARIBBEAN GROUP LTD,Common Stock,true,cusip
BBG000BB5B84,1069202,COMMON,LENNOX INTERNATIONAL INC,Common Stock,true,cusip
BBG000BB5BF6,1326380,CLASS A,GAMESTOP CORP CLASS A,Common Stock,true,cusip
BBG000BB5HV5,61478,COMMON,ADC TELECOMMUNICATIONS,Common Stock,true,cusip
BBG000BB65D0,749251,COMMON,GARTNER INC,Common Stock,true,cusip
BBG000BB6F57,859163,COMMON,AVX CORP.,Common Stock,true,cusip
BBG000BB6G37,6281,COMMON,ANALOG DEVICES INC,Common Stock,true,cusip
BBG000BB6KF5,1099219,COMMON,METLIFE INC,Common Stock,true,cusip
BBG000BB6M98,1031296,COMMON,FIRSTENERGY CORP,Common Stock,true,cusip
BBG000BB6MM3,1390844,COMMON,WABCO HOLDINGS INC,Common Stock,true,cusip
