sec_id,ticker,exchange,valid_from,valid_to,source
BBG000B9X5K7,ALD,NYSE,2007-12-17,2010-04-01,observation
BBG000B9X8C0,AEE,NYSE,2007-12-17,,observation
BBG000B9XG87,AME,NYSE,2007-12-21,,observation
BBG000B9XRY4,AAPL,NASDAQ,2007-12-17,,observation
BBG000B9XYV2,AMT,NYSE,2007-12-21,,observation
BBG000B9YJ35,APH,NYSE,2008-01-16,,observation
BBG000B9YSK6,CBL,NYSE,2008-01-03,2020-11-02,observation
BBG000B9Z0J8,PLD,NYSE,2011-06-06,,observation
BBG000B9ZGM9,BGC,NYSE,2007-12-19,2018-06-05,observation
BBG000B9ZV28,AMED,NASDAQ,2008-01-16,2025-08-14,observation
BBG000B9ZXB4,ABT,NYSE,2007-12-17,,observation
BBG000BB03M1,CBI,NYSE,2008-01-11,2018-05-10,observation
BBG000BB0V03,CPT,NYSE,2008-01-02,,observation
BBG000BB1BW1,CPS,NYSE,2008-01-14,2008-09-18,observation
BBG000BB1TH9,FLR,NYSE,2008-01-10,,observation
BBG000BB27M0,DNA,NYSE,2007-12-17,2009-03-26,observation
BBG000BB29X4,DTE,NYSE,2007-12-19,,observation
BBG000BB2KN0,LSTR,NASDAQ,2007-12-20,,observation
BBG000BB2KW0,APOL,NASDAQ,2007-12-27,2017-02-01,observation
BBG000BB2N27,THI,NYSE,2007-12-26,2014-12-12,observation
BBG000BB2PH6,FCS,NASDAQ,2008-01-16,2016-09-16,observation
BBG000BB2PW9,DNB,NYSE,2008-01-16,2019-02-07,observation
BBG000BB38Q3,CVD,NYSE,2008-01-14,2015-02-18,observation
BBG000BB41G8,ACV,,2008-01-16,2011-05-09,observation
BBG000BB4D72,FLO,NYSE,2007-12-21,,observation
BBG000BB4WY0,CVG,NYSE,2008-01-07,2018-10-04,observation
BBG000BB5006,ADBE,NASDAQ,2007-12-24,,observation
BBG000BB5373,WU,NYSE,2007-12-17,,observation
BBG000BB5792,RCL,NYSE,2007-12-20,,observation
BBG000BB5B84,LII,NYSE,2008-01-02,,observation
BBG000BB5BF6,GME,NYSE,2007-12-20,,observation
BBG000BB5HV5,ADCT,NASDAQ,2007-12-24,2010-12-19,observation
BBG000BB65D0,IT,NYSE,2007-12-19,,observation
BBG000BB6F57,AVX,NYSE,2008-01-16,2020-03-27,observation
BBG000BB6G37,ADI,NASDAQ,2007-12-24,,observation
BBG000BB6KF5,MET,NYSE,2007-12-20,,observation
BBG000BB6M98,FE,NYSE,2008-01-09,,observation
BBG000BB6MM3,WBC,NYSE,2008-04-17,2020-05-28,observation
BBG000BB6WG8,ADM,NYSE,2007-12-17,,observation
BBG000BB72K8,LECO,NASDAQ,2008-01-16,,observation
BBG000BB7SX7,ELS,NYSE,2008-04-28,,observation
BBG000BB8PG1,GRA,NYSE,2007-12-27,2021-09-21,observation
BBG000BB8SW7,PKG,NYSE,2007-12-26,,observation
BBG000BB8ZF0,WNR,,2007-12-26,2017-06-09,observation
BBG000BB99S3,SLAB,NASDAQ,2007-12-17,,observation
BBG000BB9KF2,AEP,NASDAQ,2008-01-03,,observation
BBG000BB9RZ5,SGR,,2007-12-17,2009-08-24,observation
BBG000BB9RZ5,SHAW,NYSE,2009-08-25,2013-02-12,observation
BBG000BBB3K1,RAI,NYSE,2007-12-21,2017-07-24,observation
BBG000BBBNC6,AFL,NYSE,2007-12-21,,observation
BBG000BBBP59,PRE,NYSE,2007-12-18,2016-03-17,observation
BBG000BBBQ84,PPO,NYSE,2008-03-26,2015-08-25,observation
BBG000BBCDZ2,ROK,NYSE,2008-01-14,,observation
BBG000BBCQD7,SLM,NASDAQ,2007-12-21,,observation
BBG000BBCT50,CU,,2007-12-17,2008-09-04,ftd
BBG000BBCT50,CCU,,2008-09-05,,observation
BBG000BBD070,HES,,2007-12-18,,observation
BBG000BBDPQ4,NVE,NYSE,2008-11-21,2013-12-19,observation
BBG000BBDV81,CTSH,NASDAQ,2007-12-19,,observation
BBG000BBDZG3,AIG,NYSE,2007-12-17,,observation
BBG000BBG2C7,CNH,NYSE,2008-01-25,2013-09-27,observation
BBG000BBG3P1,TMA,,2008-10-02,2008-12-10,observation
BBG000BBG3P1,THMR,,2008-12-11,2009-01-22,ftd
BBG000BBG3P1,TMA,,2009-01-23,2009-01-25,observation
BBG000BBG3P1,THMR,,2009-01-26,2009-03-19,ftd
BBG000BBG3P1,TMA,,2009-03-20,2009-03-22,observation
BBG000BBG3P1,THMR,,2009-03-23,2009-05-05,ftd
BBG000BBG3P1,THMRQ,,2009-05-06,2009-06-07,ftd
BBG000BBG3P1,TMA,,2009-06-08,2009-06-09,observation
BBG000BBG3P1,THMRQ,,2009-06-10,2012-04-26,ftd
BBG000BBGGQ1,VLO,NYSE,2007-12-24,,observation
BBG000BBHHP9,AIT,NYSE,2008-06-24,,observation
BBG000BBHXQ3,AJG,NYSE,2008-01-16,,observation
BBG000BBJB07,AKRX,NASDAQ,2007-12-19,2020-05-29,observation
BBG000BBJQV0,NVDA,NASDAQ,2007-12-17,,observation
BBG000BBK401,MATX,NYSE,2012-07-06,,observation
BBG000BBL0Y1,ALK,NYSE,2007-12-17,,observation
BBG000BBL8V7,PWR,NYSE,2007-12-26,,observation
BBG000BBLK04,TW,NASDAQ,2010-01-04,2016-01-04,observation
BBG000BBLPH5,PRIM,NYSE,2008-09-09,,observation
BBG000BBMSJ6,ALTR,NASDAQ,2007-12-19,2015-12-24,observation
BBG000BBMVS9,RAH,NYSE,2008-04-07,2013-01-29,observation
BBG000BBNYF6,DRI,NYSE,2007-12-24,,observation
BBG000BBPFB9,AMAT,,2007-12-17,,observation
BBG000BBQCY0,AMD,NASDAQ,2007-12-17,,observation
BBG000BBRPL4,EME,NYSE,2008-01-14,,observation
BBG000BBS2Y0,AMGN,NASDAQ,2007-12-17,,observation
BBG000BBS9F6,TOC,,2007-12-17,2008-04-17,ftd
BBG000BBS9F6,TRI,,2008-04-18,2018-11-27,observation
BBG000BBS9F6,TRIXXXX,,2018-11-28,,ftd
BBG000BBSX81,PMCS,NASDAQ,2007-12-26,2016-01-14,observation
BBG000BBTJZ1,ERIE,NASDAQ,2008-01-16,,observation
BBG000BBVCN6,ESI,NYSE,2007-12-17,2016-09-02,observation
BBG000BBVJZ8,DVN,NYSE,2007-12-21,,observation
BBG000BBVK30,AMR,NYSE,2007-12-17,2012-01-04,observation
BBG000BBXLW4,AN,NYSE,2007-12-18,,observation
BBG000BBXQ71,DLM,NYSE,2008-01-16,2011-03-08,observation
BBG000BBY4T5,ANAT,NASDAQ,2008-01-16,2020-07-12,observation
BBG000BC15S7,AON,,2012-04-03,2020-04-01,observation
BBG000BC16H7,LPNT,NASDAQ,2007-12-21,2018-11-15,observation
BBG000BC1L02,AOS,NYSE,2007-12-26,,observation
BBG000BC26P7,GES,NYSE,2007-12-18,2026-01-22,observation
BBG000BC2C10,APA,,2007-12-17,,observation
BBG000BC2KW8,KRG,NYSE,2021-10-12,,ftd
BBG000BC2R71,ALLY,NYSE,2014-04-11,,observation
BBG000BC33T9,ARE,NYSE,2007-12-21,,observation
BBG000BC40Y8,APC,NYSE,2008-01-03,2019-08-08,observation
BBG000BC4JJ4,APD,NYSE,2008-01-16,,observation
BBG000BC8G88,ARG,NYSE,2008-01-16,2016-05-20,observation
BBG000BC9938,VMW,NYSE,2007-12-17,2023-11-21,observation
BBG000BC9DK0,ADC,NYSE,2008-03-11,,observation
BBG000BC9WH2,HME,NYSE,2007-12-19,2015-10-07,observation
BBG000BCBCM7,SPLS,NASDAQ,2007-12-18,2017-09-12,observation
BBG000BCD3D5,ARW,NYSE,2008-01-16,,observation
BBG000BCFQC3,ASBC,,2008-01-14,2012-06-28,observation
BBG000BCFQC3,ASB,,2012-06-29,2012-07-01,observation
BBG000BCFQC3,ASBC,,2012-07-02,2012-12-30,ftd
BBG000BCFQC3,ASB,,2012-12-31,2013-01-02,observation
BBG000BCFQC3,ASBC,,2013-01-03,2013-06-27,ftd
BBG000BCFQC3,ASB,,2013-06-28,2013-07-01,observation
BBG000BCFQC3,ASBC,,2013-07-02,2013-12-30,ftd
BBG000BCFQC3,ASB,,2013-12-31,2014-01-01,observation
BBG000BCFQC3,ASBC,,2014-01-02,2014-06-29,ftd
BBG000BCFQC3,ASB,,2014-06-30,2014-06-30,observation
BBG000BCFQC3,ASBC,,2014-07-01,2014-12-23,ftd
BBG000BCFQC3,ASB,NYSE,2014-12-24,,observation
BBG000BCFXT0,UHAL,NYSE,2007-12-24,,observation
BBG000BCG930,ANTM,,2012-06-29,2022-06-28,observation
BBG000BCG930,ELV,NYSE,2022-06-29,,observation
BBG000BCGY17,LO,NYSE,2008-06-10,2015-06-11,observation
BBG000BCHG15,ASH,NYSE,2007-12-27,2016-09-20,observation
BBG000BCJ161,SRPT,NASDAQ,2012-07-16,,observation
BBG000BCKC47,ATG,,2008-01-16,2009-02-09,observation
BBG000BCKC47,AGL,,2009-02-10,2009-03-19,ftd
BBG000BCKC47,ATG,,2009-03-20,2009-03-22,observation
BBG000BCKC47,AGL,,2009-03-23,2009-06-07,ftd
BBG000BCKC47,ATG,,2009-06-08,2009-06-10,observation
BBG000BCKC47,AGL,,2009-06-11,2011-12-18,ftd
BBG000BCKC47,GAS,NYSE,2011-12-19,2016-06-30,observation
BBG000BCKGW7,AMKR,NASDAQ,2007-12-20,,observation
BBG000BCLYL9,MSM,NYSE,2008-01-16,,observation
BBG000BCM087,ATW,NYSE,2008-02-29,2017-10-05,observation
BBG000BCMBG4,FTNT,NASDAQ,2009-11-27,,observation
BBG000BCMWM1,MTN,NYSE,2007-12-27,,observation
BBG000BCNYT9,AVP,NYSE,2007-12-20,2020-01-03,observation
BBG000BCPB71,AVT,NASDAQ,2008-01-16,,observation
BBG000BCQ4P6,AVY,NYSE,2008-01-14,,observation
BBG000BCQ6J8,KKR,NYSE,2018-07-05,,observation
BBG000BCQM58,WPC,NYSE,2012-10-02,,observation
BBG000BCQZS4,AXP,NYSE,2007-12-20,,observation
BBG000BCSPR5,COR,NYSE,2010-09-29,2021-12-27,observation
BBG000BCSST7,BA,NYSE,2007-12-21,,observation
BBG000BCTL84,PMI,NYSE,2007-12-17,2011-11-23,observation
BBG000BCTLF6,BAC,NYSE,2007-12-17,,observation
BBG000BCTQ65,XEL,NASDAQ,2007-12-17,,observation
BBG000BCVG28,POOL,NASDAQ,2007-12-17,,observation
BBG000BCVJ77,BAX,NYSE,2007-12-21,,observation
BBG000BCWCG1,BBY,NYSE,2007-12-17,,observation
BBG000BCWKD6,VOYA,NYSE,2013-05-08,,observation
BBG000BCWSS3,BC,NYSE,2007-12-17,,observation
BBG000BCX7G1,OMX,NYSE,2008-01-11,2013-11-05,observation
BBG000BCYP43,BCR,NYSE,2007-12-24,2017-12-28,observation
BBG000BCZBF1,SAM,NYSE,2008-04-07,,observation
BBG000BCZH22,BDK,NYSE,2008-01-11,2010-03-12,observation
BBG000BCZL41,VRSK,NASDAQ,2009-10-13,,observation
BBG000BCZYD3,BDX,NYSE,2008-01-16,,observation
BBG000BD0DV5,BEC,NYSE,2008-01-16,2011-06-29,observation
BBG000BD0Q91,BKS,NYSE,2008-01-14,2019-08-06,observation
BBG000BD0TF8,BEN,NYSE,2007-12-26,,observation
BBG000BD1HP2,BER,,2008-01-09,2008-04-30,observation
BBG000BD1HP2,WRB,,2008-05-01,2008-05-30,ftd
BBG000BD1HP2,BER,,2008-05-31,2008-07-07,observation
BBG000BD1HP2,WRB,,2008-07-08,2008-07-24,ftd
BBG000BD1HP2,BER,,2008-07-25,2008-09-10,observation
BBG000BD1HP2,WRB,,2008-09-11,2008-11-17,ftd
BBG000BD1HP2,BER,,2008-11-18,2008-11-18,observation
BBG000BD1HP2,WRB,,2008-11-19,2009-01-22,ftd
BBG000BD1HP2,BER,,2009-01-23,2009-01-25,observation
BBG000BD1HP2,WRB,,2009-01-26,2009-03-19,ftd
BBG000BD1HP2,BER,,2009-03-20,2009-03-22,observation
BBG000BD1HP2,WRB,,2009-03-23,2009-06-07,ftd
BBG000BD1HP2,BER,,2009-06-08,2009-06-09,observation
BBG000BD1HP2,WRB,NYSE,2009-06-10,,observation
BBG000BD2167,ITRI,NASDAQ,2007-12-18,,observation
BBG000BD2C18,BF-A,NYSE,2008-09-16,,observation
BBG000BD2NY8,BF-B,NYSE,2008-01-09,,observation
BBG000BD3LM4,NUAN,NASDAQ,2007-12-17,2022-03-03,observation
BBG000BD4VG8,BHI,NYSE,2007-12-17,2017-07-03,observation
BBG000BD53V2,WGOV,,2008-04-07,2011-01-31,ftd
BBG000BD53V2,WWD,NASDAQ,2011-02-01,,observation
BBG000BD6SQ2,WDR,,2008-01-14,,observation
BBG000BD7W19,TIE,NYSE,2007-12-17,2013-01-07,observation
BBG000BD8PN9,BK,,2007-12-21,2026-05-31,observation
BBG000BD8PN9,BNY,NYSE,2026-06-01,,observation
BBG000BDD940,WAB,NYSE,2008-03-12,,observation
BBG000BDDN94,OIS,NYSE,2008-03-07,,observation
BBG000BDDNH5,BLL,,2008-01-16,2022-05-10,observation
BBG000BDDNH5,BALL,NYSE,2022-05-11,,observation
BBG000BDG1Y1,BMC,NASDAQ,2007-12-24,2013-09-10,observation
BBG000BDHD29,UNVR,NYSE,2015-06-23,2023-07-31,observation
BBG000BDHNB7,BMS,NYSE,2007-12-27,2019-06-10,observation
BBG000BDJL83,FDS,NYSE,2007-12-21,,observation
BBG000BDKN87,BNI,NYSE,2007-12-18,2010-02-12,observation
BBG000BDLCQ0,RGA,NYSE,2008-12-02,,observation
BBG000BDN878,THOEF,,2011-12-20,2012-05-08,ftd
BBG000BDN878,TAHO,NYSE,2012-05-09,2019-02-21,observation
BBG000BDNB35,BPOP,NASDAQ,2007-12-17,,observation
BBG000BDP616,BRE,NYSE,2007-12-24,2014-04-01,observation
BBG000BDQGN9,BRL,NYSE,2008-01-16,2008-12-22,observation
BBG000BDRMN5,HTV,NYSE,2008-01-14,2009-06-04,observation
BBG000BDRQ10,BSC,NYSE,2007-12-27,2008-05-30,observation
BBG000BDTNN1,BUD,NYSE,2007-12-21,2008-11-17,observation
BBG000BDWKC5,CA,NASDAQ,2007-12-27,2018-11-02,observation
BBG000BDXCJ5,CNC,NYSE,2008-02-13,,observation
BBG000BDXGP9,CAG,NYSE,2007-12-21,,observation
BBG000BDXVW8,CAL,NYSE,2007-12-17,2010-09-30,observation
BBG000BDY3Y7,CYH,NYSE,2007-12-18,,observation
BBG000BF0672,CASY,NASDAQ,2007-12-19,,observation
BBG000BF0K17,CAT,NYSE,2007-12-18,,observation
BBG000BF1PD2,LRY,,2007-12-31,2012-06-28,observation
BBG000BF1PD2,LPT,,2012-06-29,2012-07-02,observation
BBG000BF1PD2,LRY,,2012-07-03,2012-12-30,ftd
BBG000BF1PD2,LPT,,2012-12-31,2013-01-01,observation
BBG000BF1PD2,LRY,,2013-01-02,2013-06-27,ftd
BBG000BF1PD2,LPT,,2013-06-28,2013-06-30,observation
BBG000BF1PD2,LRY,,2013-07-01,2013-12-30,ftd
BBG000BF1PD2,LPT,,2013-12-31,2014-01-01,observation
BBG000BF1PD2,LRY,,2014-01-02,2014-03-02,ftd
BBG000BF1PD2,LPT,NYSE,2014-03-03,2020-02-03,observation
BBG000BF1R66,CB,NYSE,2007-12-21,2016-01-15,observation
BBG000BF2JS9,CNB,NYSE,2007-12-18,2009-08-17,observation
BBG000BF2KK4,CBE,NYSE,2009-09-10,2012-11-30,observation
BBG000BF3BG8,HHS,NASDAQ,2008-01-16,,observation
BBG000BF3G77,CBSH,NASDAQ,2007-12-18,,observation
BBG000BF3WW4,CBT,NYSE,2008-01-16,,observation
BBG000BF4VY3,CC,NYSE,2007-12-17,2008-11-10,observation
BBG000BF5RY1,CCE,NYSE,2010-10-05,2016-05-31,observation
BBG000BF6756,CCK,NYSE,2008-01-16,,observation
BBG000BF6F94,NMX,NYSE,2007-12-21,2008-08-21,observation
BBG000BF6LY3,CCL,NYSE,2007-12-19,,observation
BBG000BF6RQ9,SAVE,NYSE,2013-01-22,2024-11-15,observation
BBG000BF7T75,AF,NYSE,2008-01-16,2017-09-29,observation
BBG000BF7XZ5,CFC,NYSE,2007-12-17,2008-06-30,observation
BBG000BF7Y65,FRE,,2007-12-18,2010-07-13,observation
BBG000BF7Y65,FMCC,,2010-07-14,2026-08-31,ftd
BBG000BF8BH2,CCU,,2007-12-17,2008-07-31,observation
BBG000BF8TF5,CDE,NYSE,2009-06-01,,observation
BBG000BFC848,KNX,NYSE,2017-09-12,,observation
BBG000BFC8J2,CELG,,2007-12-17,,observation
BBG000BFDLV8,CERN,NASDAQ,2008-01-15,2022-06-07,observation
BBG000BFDXW1,BRCM,NASDAQ,2007-12-17,2016-01-29,observation
BBG000BFFW15,CLP,NYSE,2007-12-27,2013-10-01,observation
BBG000BFGNJ5,ALNY,NASDAQ,2007-12-17,,observation
BBG000BFJSG4,VVC,NYSE,2008-01-16,2019-01-31,observation
BBG000BFJT36,CHD,NYSE,2008-01-16,,observation
BBG000BFK8Y6,TCF,,2012-06-29,,observation
BBG000BFL116,FSLR,NASDAQ,2007-12-24,,observation
BBG000BFLXV3,PPC,NASDAQ,2010-01-04,,observation
BBG000BFMBQ6,CI,NYSE,2007-12-18,2018-12-21,observation
BBG000BFNR17,ADS,,2007-12-19,2022-04-05,observation
BBG000BFNR17,BFH,NYSE,2022-04-06,,ftd
BBG000BFPK65,CINF,NASDAQ,2007-12-18,,observation
BBG000BFQYY3,CL,NYSE,2007-12-20,,observation
BBG000BFRF55,CLF,,2007-12-18,2008-10-14,observation
BBG000BFRF55,CLFZZZZ,,2008-10-15,2008-10-15,ftd
BBG000BFRF55,CLF,NYSE,2008-10-16,,observation
BBG000BFRRX8,CLHB,,2007-12-17,2008-12-18,ftd
BBG000BFRRX8,CLH,NYSE,2008-12-19,,observation
BBG000BFS7D3,CLX,NYSE,2008-01-16,,observation
BBG000BFSND8,CMC,NYSE,2008-01-09,,observation
BBG000BFT2L4,CMCSA,NASDAQ,2007-12-17,,observation
BBG000BFTJ91,CMCSK,,2007-12-17,2015-12-15,observation
BBG000BFV115,SM,NYSE,2010-06-03,,observation
