sec_id,ticker,our_bucket,our_code,our_reason,edgar_name,former_names,resolved_name,name_match,delist_form_present,verdict,note
BBG000B9X5K7,ALD,merger,231,M&A 2.01+3.01+5.01 (acquired by external acquirer),ALLIED CAPITAL CORP,ALLIED CAPITAL LENDING CORP,ALLIED CAPITAL CORP,2/2,"25=Y,15=Y",OK,
BBG000B9YSK6,CBL,exchange_transfer,304,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),CBL & ASSOCIATES PROPERTIES INC,,CBL & ASSOCIATES PROPERTIES INC.,2/2,"25=N,15=N",WEAK_no_delist_form,
BBG000B9ZGM9,BGC,merger,231,M&A 2.01+3.01+5.01 (acquired by external acquirer),GENERAL CABLE CORP /DE/,,GENERAL CABLE CORP,2/2,"25=Y,15=Y",OK,
BBG000B9ZV28,AMED,merger,231,M&A 2.01+3.01+5.01 (acquired by external acquirer),AMEDISYS INC,,AMEDISYS INC,1/1,"25=Y,15=Y",OK,
BBG000BB03M1,CBI,merger,231,M&A 2.01+3.01+5.01 (acquired by external acquirer),CHICAGO BRIDGE & IRON CO N V,,CHICAGO BRIDGE & IRON COMPANY NV,3/3,"25=Y,15=Y",OK,
BBG000BB1BW1,CPS,merger,231,M&A 2.01+3.01+5.01 (acquired by external acquirer),CHOICEPOINT INC,,CHOICEPOINT INC,1/1,"25=Y,15=Y",OK,
BBG000BB27M0,DNA,merger,231,Merger filing SC 14D9 2009-02-23 before the delisting,GENENTECH INC,,GENENTECH INC,1/1,"25=Y,15=Y",OK,
BBG000BB2KW0,APOL,merger,231,M&A 2.01+3.01+5.01 (acquired by external acquirer),APOLLO EDUCATION GROUP INC,APOLLO GROUP INC,APOLLO EDUCATION GROUP INC CLASS A,2/2,"25=Y,15=Y",OK,
BBG000BB2N27,THI,merger,231,M&A 2.01+3.01+5.01 (acquired by external acquirer),Tim Hortons Inc.,,TIM HORTONS INC,1/1,"25=Y,15=Y",OK,
BBG000BB2PH6,FCS,exchange_transfer,304,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),FAIRCHILD SEMICONDUCTOR INTERNATIONAL INC,FSC SEMICONDUCTOR CORP,FAIRCHILD SEMICONDUCTOR INTERNATIO,2/3,"25=Y,15=N",OK,
BBG000BB2PH6,FCS,merger,231,M&A 2.01+3.01+5.01 (acquired by external acquirer),FAIRCHILD SEMICONDUCTOR INTERNATIONAL INC,FSC SEMICONDUCTOR CORP,FAIRCHILD SEMICONDUCTOR INTERNATIO,2/3,"25=Y,15=Y",OK,
BBG000BB2PW9,DNB,merger,231,M&A 2.01+3.01+5.01 (acquired by external acquirer),DUN & BRADSTREET CORP/NW,NEW D&B CORP,DUN & BRADSTREET CORP,1/1,"25=Y,15=Y",OK,
BBG000BB38Q3,CVD,merger,231,M&A 2.01+3.01+5.01 (acquired by external acquirer),COVANCE INC,CORNING PHARMACEUTICAL SERVICES INC,COVANCE INC.,1/1,"25=Y,15=Y",OK,
BBG000BB4WY0,CVG,merger,231,M&A 2.01+3.01+5.01 (acquired by external acquirer),CONCENTRIX CVG Corp,CONVERGYS CORP,CONVERGYS CORP,1/1,"25=Y,15=Y",OK,
BBG000BB5HV5,ADCT,merger,231,"M&A change in control (5.01) with delisting/rights change, closing 8-K without 2.01",ADC TELECOMMUNICATIONS INC,,ADC TELECOMMUNICATIONS,1/1,"25=Y,15=Y",OK,
BBG000BB6F57,AVX,merger,200,M&A 2.01+3.01 (acquisition with delisting),AVX Corp,AVX CORP /DE/; AVX CORP /DE,AVX CORP.,0/0,"25=Y,15=Y",OK,
BBG000BB6G37,ADI,exchange_transfer,304,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),ANALOG DEVICES INC,,ANALOG DEVICES INC,2/2,"25=Y,15=N",OK,
BBG000BB6MM3,WBC,merger,231,M&A 2.01+3.01+5.01 (acquired by external acquirer),WABCO Holdings Inc.,,WABCO HOLDINGS INC,1/1,"25=Y,15=Y",OK,
BBG000BB8PG1,GRA,merger,231,"M&A change in control (5.01) with delisting/rights change, closing 8-K without 2.01",W R GRACE & CO,GRACE SPECIALTY CHEMICALS INC,WR GRACE,1/1,"25=Y,15=Y",OK,
BBG000BB9KF2,AEP,exchange_transfer,304,Ticker change / listing transfer: 3.01 notice announces a listing transfer; company still reports results,AMERICAN ELECTRIC POWER CO INC,AMERICAN ELECTRIC POWER COMPANY INC,AMERICAN ELECTRIC POWER INC,3/3,"25=Y,15=N",OK,
BBG000BB9RZ5,SHAW,merger,231,M&A 2.01+3.01+5.01 (acquired by external acquirer),SHAW GROUP INC,,SHAW GROUP INC.,1/1,"25=Y,15=Y",OK,
BBG000BBB3K1,RAI,merger,231,M&A 2.01+3.01+5.01 (acquired by external acquirer),REYNOLDS AMERICAN INC,,REYNOLDS AMERICAN INC,2/2,"25=Y,15=Y",OK,
BBG000BBBP59,PRE,exchange_transfer,304,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),PARTNERRE LTD,PARTNERRE HOLDINGS LTD,PARTNERRE LTD,1/1,"25=Y,15=Y",OK,
BBG000BBBQ84,PPO,merger,231,M&A 2.01+3.01+5.01 (acquired by external acquirer),"Polypore International, Inc.",,POLYPORE INTERNATIONAL INC.,1/1,"25=Y,15=Y",OK,
BBG000BBD070,HES,merger,231,M&A 2.01+3.01+5.01 (acquired by external acquirer),HESS CORP,AMERADA HESS CORP,HESS CORP,1/1,"25=Y,15=Y",OK,
